	words	pron	strs	numsyl	pos
0	a	['AA1']	(0,)	1	AT
1	abandoned	['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'D']	(0, 1, 0)	3	VBN
2	abdicate	['AE1', 'B', 'D', 'AH0', 'K', 'EY2', 'T']	(1, 0, 1)	3	NN
3	abdomen	['AE0', 'B', 'D', 'OW1', 'M', 'AH0', 'N']	(0, 1, 0)	3	NNS
4	abhors	['AH0', 'B', 'HH', 'AO1', 'R', 'Z']	(0, 1)	2	NNS
5	able	['EY1', 'B', 'AH0', 'L']	(1, 0)	2	JJ
6	aboard	['AH0', 'B', 'AO1', 'R', 'D']	(0, 1)	2	NN
7	about	['AH0', 'B', 'AW1', 'T']	(0, 1)	2	IN
8	above	['AH0', 'B', 'AH1', 'V']	(0, 1)	2	IN
9	absent	['AE1', 'B', 'S', 'AH0', 'N', 'T']	(1, 0)	2	NN
10	absolute	['AE1', 'B', 'S', 'AH0', 'L', 'UW2', 'T']	(1, 0, 1)	3	JJ
11	absolutely	['AE2', 'B', 'S', 'AH0', 'L', 'UW1', 'T', 'L', 'IY0']	(1, 0, 1, 0)	4	RB
12	absorbing	['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'IH0', 'NG']	(0, 1, 0)	3	VBG
13	absorbs	['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'Z']	(0, 1)	2	VBZ
14	abstain	['AH0', 'B', 'S', 'T', 'EY1', 'N']	(0, 1)	2	VB
15	abstract	['AE0', 'B', 'S', 'T', 'R', 'AE1', 'K', 'T']	(0, 1)	2	NN
16	absurd	['AH0', 'B', 'S', 'ER1', 'D']	(0, 1)	2	NN
17	absurds	['AA1', 'B', 'S', 'UW1', 'R', 'D', 'S']	(1, 0)	2	NNS
18	abundant	['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'T']	(0, 1, 0)	3	JJ
19	abuse	['AH0', 'B', 'Y', 'UW1', 'S']	(0, 1)	2	NN
20	abused	['AH0', 'B', 'Y', 'UW1', 'Z', 'D']	(0, 1)	2	VBN
21	abusing	['AH0', 'B', 'Y', 'UW1', 'Z', 'IH0', 'NG']	(0, 1, 0)	3	VBG
22	abysmal	['AH0', 'B', 'IH1', 'Z', 'M', 'AH0', 'L']	(0, 1, 0)	3	JJ
23	abyss	['AH0', 'B', 'IH1', 'S']	(0, 1)	2	NN
24	academic	['AE2', 'K', 'AH0', 'D', 'EH1', 'M', 'IH0', 'K']	(1, 0, 1, 0)	4	JJ
