	word	phonemes	strs pat	syl num	pos_tag
0	a	['AA1']	(0,)	1	AT
1	aaaaaaaaaargh	['AAAAAAAAAA', 'R', 'JH', 'HH']	()	0	NN
2	aaaargh	['AAAA', 'R', 'JH', 'HH']	()	0	NN
3	aaah	['AAA', 'HH']	()	0	NN
4	aargh	['AA1', 'R', 'JH', 'HH']	(1,)	1	NN
5	aaron	['EH1', 'R', 'AH0', 'N']	(1, 0)	2	NP
6	aarons	['EH1', 'R', 'AH0', 'N', 'Z']	(1, 0)	2	NNS
7	aback	['AH0', 'B', 'AE1', 'K']	(0, 1)	2	NN
8	abandon	['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N']	(0, 1, 0)	3	NN
9	abandoned	['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'D']	(0, 1, 0)	3	VBN
10	abarim	['AE1', 'B', 'AH0', 'R', 'IH1', 'M']	(1, 0, 1)	3	NN
11	abash	['AH0', 'B', 'AE1', 'SH']	(0, 1)	2	NN
12	abashed	['AH0', 'B', 'AE1', 'SH', 'T']	(0, 1)	2	VBN
13	abasheth	['AH0', 'B', 'AE1', 'SH', 'IH0', 'TH']	(0, 1, 0)	3	NNS
14	abashless	['AH0', 'B', 'AE1', 'S', 'HH', 'L', 'AH0', 'SH']	(0, 1, 0)	3	NN
15	abassin	['AH0', 'B', 'AH0', 'SH', 'IH0', 'N']	(0, 1, 0)	3	NN
16	abated	['AH0', 'B', 'EY1', 'T', 'IH0', 'D']	(0, 1, 0)	3	VBD
17	abbana	['AE1', 'BB', 'AA1', 'N', 'AE1']	(1, 0, 1)	3	NN
18	abbey	['AE1', 'B', 'IY0']	(1, 0)	2	NN
19	abbeys	['AH0', 'BB', 'IY0', 'S']	(0, 1)	2	NNS
20	abbott	['AE1', 'B', 'AH0', 'T']	(1, 0)	2	NN
21	abdicate	['AE1', 'B', 'D', 'AH0', 'K', 'EY2', 'T']	(1, 0, 1)	3	NN
22	abdiel	['AA1', 'B', 'D', 'IY0', 'L']	(1, 0)	2	NN
23	abdomen	['AE0', 'B', 'D', 'OW1', 'M', 'AH0', 'N']	(0, 1, 0)	3	NNS
24	abducted	['AE0', 'B', 'D', 'AH1', 'K', 'T', 'IH0', 'D']	(0, 1, 0)	3	VBN
25	abhor	['AE0', 'B', 'HH', 'AO1', 'R']	(0, 1)	2	NN
26	abhorred	['AH0', 'B', 'HH', 'AO1', 'R', 'D']	(0, 1)	2	VBD
27	abhorrest	['AE1', 'B', 'HH', 'OW0', 'IY0', 'AH0', 'S', 'T']	(1, 0, 1, 0)	4	NN
28	abhors	['AH0', 'B', 'HH', 'AO1', 'R', 'Z']	(0, 1)	2	NNS
29	abide	['AH0', 'B', 'AY1', 'D']	(0, 1)	2	NN
30	abides	['AH0', 'B', 'AY1', 'D', 'Z']	(0, 1)	2	VBZ
31	ability	['AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']	(0, 1, 0, 1)	4	NN
32	abject	['AE1', 'B', 'JH', 'EH0', 'K', 'T']	(1, 0)	2	JJ
33	abjure	['AE1', 'B', 'Y', 'AH1', 'R']	(1, 0)	2	NN
34	able	['EY1', 'B', 'AH0', 'L']	(1, 0)	2	JJ
